epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
93,7133.15,0.32013,0.41841,0.25718,0.85423,0,0.97416,0.98609,0.98368,0.95671,0.97416,0.98609,0.98368,0.95375,0.2572,0.37039,0.2125,0.80326,0,0.000388844,0.000388844,0.000388844
94,7209.78,0.31784,0.429,0.25642,0.85909,0,0.97546,0.97419,0.98324,0.95225,0.97546,0.97419,0.98324,0.94539,0.26141,0.39616,0.22664,0.80785,0,0.00038531,0.00038531,0.00038531
95,7286.24,0.31484,0.42455,0.26095,0.85813,0,0.97676,0.97183,0.98107,0.94925,0.97687,0.9717,0.98083,0.94404,0.26211,0.3845,0.22393,0.80984,0,0.000381776,0.000381776,0.000381776
96,7362.61,0.30746,0.4161,0.25003,0.85398,0,0.97884,0.98959,0.98284,0.95065,0.97884,0.98959,0.98284,0.94738,0.2551,0.36437,0.21072,0.81394,0,0.000378242,0.000378242,0.000378242
97,7439.14,0.31098,0.42626,0.25011,0.85499,0,0.97245,0.98686,0.98276,0.95079,0.9736,0.98611,0.98243,0.9498,0.25612,0.37921,0.20934,0.80553,0,0.000374707,0.000374707,0.000374707
98,7515.54,0.3062,0.4077,0.25536,0.85562,0,0.96956,0.98227,0.98479,0.9596,0.96956,0.98227,0.98479,0.95119,0.24886,0.36102,0.20681,0.80498,0,0.000371173,0.000371173,0.000371173
99,7592.14,0.30386,0.40014,0.25747,0.85618,0,0.96914,0.98298,0.98152,0.95198,0.96914,0.98298,0.98152,0.94787,0.25346,0.38825,0.22336,0.80512,0,0.000367639,0.000367639,0.000367639
100,7668.56,0.3087,0.40108,0.24919,0.85691,0,0.97171,0.98045,0.97933,0.95226,0.97171,0.98045,0.97926,0.94253,0.25122,0.36903,0.22261,0.8037,0,0.000364104,0.000364104,0.000364104
101,7745.1,0.30736,0.41485,0.2569,0.85364,0,0.97743,0.98562,0.98223,0.95515,0.97743,0.98562,0.98223,0.94982,0.24432,0.36766,0.21183,0.80108,0,0.00036057,0.00036057,0.00036057
102,7821.58,0.30665,0.40538,0.24922,0.85444,0,0.97105,0.98252,0.98026,0.95617,0.97105,0.98252,0.98026,0.94866,0.24708,0.37083,0.22526,0.7979,0,0.000357036,0.000357036,0.000357036
103,7898.08,0.30864,0.42055,0.25224,0.85797,0,0.97523,0.98078,0.9785,0.94953,0.97523,0.98078,0.9785,0.94421,0.25438,0.3933,0.22202,0.80097,0,0.000353501,0.000353501,0.000353501
104,7974.54,0.30106,0.39606,0.24513,0.85357,0,0.97213,0.97894,0.98351,0.95682,0.97308,0.97668,0.98318,0.95157,0.25292,0.38668,0.21849,0.80362,0,0.000349967,0.000349967,0.000349967
105,8051.06,0.30869,0.4159,0.24675,0.85323,0,0.97451,0.98433,0.98149,0.95344,0.97451,0.98433,0.98125,0.9422,0.25212,0.38756,0.211,0.80656,0,0.000346433,0.000346433,0.000346433
106,8127.55,0.30607,0.41457,0.25144,0.85253,0,0.97108,0.98101,0.98101,0.95414,0.97108,0.98101,0.98101,0.9484,0.25105,0.3683,0.21678,0.79853,0,0.000342899,0.000342899,0.000342899
107,8204.07,0.30285,0.39982,0.24209,0.85287,0,0.97246,0.9784,0.98142,0.95336,0.97246,0.9784,0.98142,0.94789,0.25215,0.37866,0.21473,0.79862,0,0.000339364,0.000339364,0.000339364
108,8280.53,0.30414,0.40062,0.24425,0.85217,0,0.97989,0.98332,0.98362,0.95692,0.97989,0.98332,0.98362,0.9475,0.25353,0.38008,0.21511,0.80165,0,0.00033583,0.00033583,0.00033583
109,8356.99,0.30197,0.40233,0.24724,0.85474,0,0.97532,0.9793,0.98305,0.95507,0.97532,0.9793,0.98305,0.94724,0.24467,0.40845,0.20651,0.80105,0,0.000332296,0.000332296,0.000332296
110,8433.52,0.30228,0.42229,0.2416,0.85338,0,0.97774,0.98065,0.98244,0.95567,0.97774,0.98065,0.98244,0.94923,0.24432,0.38667,0.20788,0.80228,0,0.000328761,0.000328761,0.000328761
111,8510.01,0.2968,0.39741,0.23387,0.85057,0,0.98181,0.98296,0.98438,0.95807,0.98181,0.98296,0.98438,0.95015,0.24539,0.3776,0.20668,0.80228,0,0.000325227,0.000325227,0.000325227
112,8586.45,0.29389,0.38396,0.24269,0.8501,0,0.97131,0.98227,0.98392,0.95633,0.97131,0.98227,0.98392,0.95093,0.24792,0.38769,0.21612,0.8064,0,0.000321693,0.000321693,0.000321693
113,8662.97,0.29406,0.3987,0.23625,0.85212,0,0.98119,0.98445,0.98243,0.95515,0.98119,0.98445,0.98243,0.94678,0.24236,0.3846,0.2076,0.80468,0,0.000318158,0.000318158,0.000318158
114,8739.45,0.29074,0.39121,0.23003,0.85294,0,0.97237,0.97873,0.98138,0.95314,0.97237,0.97873,0.98138,0.94729,0.24285,0.38764,0.2142,0.80424,0,0.000314624,0.000314624,0.000314624
115,8815.96,0.29073,0.39465,0.23332,0.85382,0,0.97497,0.97939,0.98393,0.95747,0.97497,0.97939,0.98393,0.94986,0.23816,0.37178,0.20291,0.7988,0,0.00031109,0.00031109,0.00031109
116,8892.46,0.29759,0.39265,0.23272,0.85303,0,0.978,0.98083,0.9826,0.95544,0.978,0.98083,0.9826,0.94965,0.24133,0.37413,0.20571,0.80052,0,0.000307555,0.000307555,0.000307555
117,8968.88,0.30015,0.38863,0.23957,0.85123,0,0.97147,0.98247,0.98385,0.95674,0.97147,0.98247,0.98385,0.94814,0.23782,0.38935,0.22221,0.8032,0,0.000304021,0.000304021,0.000304021
118,9045.33,0.29017,0.37867,0.23103,0.84832,0,0.97105,0.9878,0.98354,0.95749,0.97105,0.9878,0.98354,0.95151,0.24954,0.38242,0.19968,0.80374,0,0.000300487,0.000300487,0.000300487
